,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
770,Constantine,36.4433,6.6333,8.2,25.4,1.8,14.2,0.28,1.45,"[0.0, 30.0]"
774,Relizane,35.7333,0.55,7.92,35.44,0.76,15.63,1.69,1.33,"[0.0, 20.0]"
775,Relizane,35.733333,0.566667,8.42,34.12,1.24,14.56,2.15,1.45,"[0.0, 30.0]"
783,Mostaganem,35.9333,0.0833,8.15,28.5,1.32,14.8,2.38,1.43,"[0.0, 30.0]"
785,Relizane,35.736389,0.553333,8.24,40.1,1.23,21.4,1.35,1.62,"[0.0, 30.0]"
786,Ain Temouchent,35.3,1.2,7.3,34.5,1.8,26.1,0.8,1.5,30
788,Annaba,36.9,7.7,8.12,34.9,1.42,21.3,1.14,1.65,"[0.0, 50.0]"
807,Relizane,35.75,0.55,8.2,23.4,1.2,15.0,2.1,1.6,"[0.0, 20.0]"
811,Tebessa,35.4167,8.1667,8.33,34.14,1.4,12.5,0.36,1.55,"[0.0, 30.0]"
812,Tiaret,35.3833,1.3167,8.8,1439.8,2.2,15.5,0.06,2.3,"[0.0, 30.0]"
814,Tlemcen,34.88,1.31,8.5,34.6,1.35,15.4,2.1,1.6,"[0.0, 20.0]"
815,Batna,35.55,6.16,7.8,12.4,1.45,15.2,0.15,1.25,"[0.0, 30.0]"
